iter	MultiClass
0	1.003883306
1	0.9355195822
2	0.8688286193
3	0.8185863024
4	0.7700464883
5	0.7247221975
6	0.6925159846
7	0.6598565271
8	0.6321370285
9	0.6018477853
10	0.5786387846
11	0.5578224554
12	0.5387734244
13	0.5214739095
14	0.5035506154
15	0.487165767
16	0.4751275671
17	0.4629365782
18	0.4498465037
19	0.4395477081
20	0.4308181242
21	0.4220001393
22	0.4139360551
23	0.4045399381
24	0.3982698627
25	0.3914639231
26	0.3852903012
27	0.3800755813
28	0.3740895797
29	0.3698374257
30	0.3656718025
31	0.3610235537
32	0.3551186273
33	0.350436737
34	0.346991833
35	0.3439784879
36	0.3410993127
37	0.338439476
38	0.3359383871
39	0.3330925132
40	0.330443517
41	0.3279032007
42	0.324162768
43	0.3225353365
44	0.3201313631
45	0.3186753147
46	0.3169269945
47	0.3154424763
48	0.3140161939
49	0.3119555909
50	0.3107696469
51	0.3083936316
52	0.3074881464
53	0.3056987638
54	0.3043801697
55	0.3030925772
56	0.3019681776
57	0.3004835546
58	0.2992005996
59	0.2974493286
60	0.2958628004
61	0.2949585882
62	0.2935305301
63	0.29194831
64	0.2914160691
65	0.2898336737
66	0.2888692901
67	0.2880010926
68	0.2867725387
69	0.2856678074
70	0.2840287769
71	0.2829499053
72	0.2820230048
73	0.2812827524
74	0.2805432419
75	0.2798884918
76	0.279079755
77	0.2780800812
78	0.2773061283
79	0.2758683805
80	0.2753621552
81	0.2744430003
82	0.2735709409
83	0.2728870325
84	0.2720884329
85	0.271643044
86	0.270875986
87	0.2698335617
88	0.2692188867
89	0.268218823
90	0.2673732734
91	0.2667919879
92	0.266257388
93	0.2657183164
94	0.2651518712
95	0.264549225
96	0.2640956138
97	0.2636612419
98	0.2628190933
99	0.2620643198
100	0.2615401053
101	0.2607796933
102	0.2598580913
103	0.2593432595
104	0.258613865
105	0.2581123012
106	0.2576151432
107	0.2572579922
108	0.256673073
109	0.2558683639
110	0.2554615631
111	0.2552155477
112	0.2549456764
113	0.2544394314
114	0.2540151443
115	0.25348205
116	0.2531535451
117	0.2526399961
118	0.2522589388
119	0.25148657
120	0.2512544933
121	0.250868115
122	0.25042652
123	0.2500808562
124	0.2497499369
125	0.2491988237
126	0.2487133678
127	0.2484098337
128	0.2479714113
129	0.2475012562
130	0.2466213158
131	0.2458872345
132	0.245533673
133	0.2450706087
134	0.2446821727
135	0.2440134533
136	0.2436376584
137	0.2427622981
138	0.2425235473
139	0.2419979596
140	0.2414815049
141	0.2410648645
142	0.2405694641
143	0.2403049219
144	0.2398173339
145	0.2395191398
146	0.2390827756
147	0.2387319232
148	0.2383601005
149	0.2377732302
150	0.2371753393
151	0.2366147971
152	0.2361184737
153	0.235574838
154	0.2350140275
155	0.2347165062
156	0.23440698
157	0.2338456076
158	0.2336157738
159	0.2333042534
160	0.2328753122
161	0.2324770553
162	0.2321011509
163	0.2316389284
164	0.2313082702
165	0.2308152556
166	0.2303773289
167	0.229898235
168	0.2294905156
169	0.2292469926
170	0.229107842
171	0.2287529842
172	0.2283141757
173	0.2281144488
174	0.2274854792
175	0.2272506889
176	0.226634722
177	0.2263187232
178	0.2260413178
179	0.2257651484
180	0.2253777726
181	0.224984027
182	0.2247006297
183	0.2243192126
184	0.2241328262
185	0.2237164305
186	0.2232534088
187	0.2228164554
188	0.222530449
189	0.2221844132
190	0.2218792421
191	0.2216394905
192	0.2209570831
193	0.2204997709
194	0.2200303755
195	0.2197774332
196	0.2194252307
197	0.2190114027
198	0.2186387068
199	0.2183147509
200	0.2180909328
201	0.2178146705
202	0.2174217602
203	0.2168536344
204	0.2166223343
205	0.2163827308
206	0.2160478587
207	0.2156599035
208	0.2154132867
209	0.2150251306
210	0.2145527351
211	0.2141234505
212	0.2139925953
213	0.2136687835
214	0.2128989112
215	0.212689985
216	0.2125707011
217	0.2122608505
218	0.2117736699
219	0.2114659639
220	0.2111591975
221	0.2104844722
222	0.2101652356
223	0.2098600802
224	0.2093526659
225	0.2090933075
226	0.2086600764
227	0.2082049738
228	0.2077612289
229	0.207584565
230	0.2072366948
231	0.2067758496
232	0.2065596931
233	0.2062323566
234	0.2059509932
235	0.2057886858
236	0.2054965843
237	0.2051448955
238	0.2049282493
239	0.2045416618
240	0.2043306804
241	0.2039720585
242	0.2035473082
243	0.2033559436
244	0.2031097421
245	0.2028982294
246	0.2027839089
247	0.2024628407
248	0.202055061
249	0.2018855708
250	0.2015528267
251	0.2013722754
252	0.2009721431
253	0.2006085527
254	0.2003083073
255	0.2000691412
256	0.1999036045
257	0.1996153698
258	0.1994055569
259	0.1992025375
260	0.1988967086
261	0.1985614115
262	0.1983548742
263	0.1981323488
264	0.1979902715
265	0.1978496969
266	0.1975735484
267	0.1972085636
268	0.1969327829
269	0.1966525135
270	0.1964065938
271	0.1962534497
272	0.1960132545
273	0.1956917565
274	0.195454695
