iter	Passed	Remaining
0	8	8876
1	19	9888
2	30	10274
3	40	10195
4	51	10221
5	61	10154
6	70	10043
7	81	10089
8	90	9988
9	101	10001
10	111	10033
11	120	9956
12	131	9971
13	141	9934
14	151	9917
15	162	9986
16	172	9973
17	183	9998
18	195	10083
19	205	10050
20	215	10035
21	225	10024
22	235	9989
23	245	9979
24	255	9965
25	265	9937
26	275	9932
27	285	9899
28	295	9889
29	304	9856
30	316	9901
31	330	9985
32	383	11234
33	501	14245
34	519	14318
35	551	14755
36	567	14778
37	585	14833
38	603	14865
39	622	14929
40	636	14888
41	650	14829
42	663	14757
43	675	14679
44	688	14606
45	704	14603
46	718	14578
47	731	14512
48	749	14549
49	765	14535
50	779	14509
51	795	14495
52	810	14476
53	824	14436
54	837	14390
55	851	14362
56	868	14365
57	882	14328
58	894	14270
59	907	14218
60	919	14150
61	930	14074
62	940	13987
63	952	13931
64	964	13880
65	976	13819
66	989	13777
67	1004	13772
68	1020	13772
69	1035	13758
70	1049	13731
71	1062	13694
72	1075	13662
73	1089	13630
74	1101	13586
75	1117	13588
76	1133	13585
77	1148	13575
78	1164	13573
79	1178	13552
80	1195	13558
81	1210	13556
82	1223	13520
83	1235	13475
84	1247	13431
85	1259	13385
86	1271	13341
87	1287	13346
88	1300	13307
89	1313	13278
90	1331	13299
91	1344	13272
92	1357	13240
93	1369	13197
94	1381	13156
95	1393	13119
96	1405	13085
97	1418	13051
98	1429	13010
99	1440	12961
100	1450	12913
101	1461	12864
102	1472	12823
103	1484	12785
104	1496	12753
105	1507	12716
106	1518	12670
107	1530	12641
108	1543	12615
109	1555	12581
110	1567	12551
111	1578	12516
112	1591	12491
113	1604	12472
114	1615	12431
115	1627	12403
116	1640	12380
117	1651	12342
118	1662	12304
119	1673	12269
120	1683	12230
121	1694	12196
122	1705	12158
123	1714	12115
124	1724	12074
125	1735	12036
126	1744	11995
127	1755	11960
128	1765	11921
129	1775	11882
130	1786	11851
131	1796	11815
132	1806	11777
133	1817	11743
134	1826	11705
135	1837	11674
136	1847	11640
137	1857	11603
138	1867	11567
139	1877	11531
140	1887	11500
141	1897	11465
142	1907	11433
143	1918	11402
144	1928	11371
145	1938	11340
146	1949	11310
147	1958	11275
148	1969	11250
149	1980	11220
150	1989	11188
151	2000	11161
152	2011	11134
153	2020	11101
154	2031	11074
155	2041	11043
156	2051	11013
157	2061	10986
158	2071	10957
159	2081	10929
160	2092	10902
161	2102	10877
162	2113	10855
163	2124	10827
164	2133	10797
165	2143	10769
166	2153	10740
167	2163	10712
168	2172	10682
169	2182	10654
170	2191	10626
171	2201	10597
172	2211	10573
173	2220	10542
174	2231	10517
175	2242	10497
176	2251	10468
177	2261	10443
178	2270	10415
179	2280	10390
180	2291	10368
181	2301	10342
182	2310	10316
183	2320	10290
184	2329	10264
185	2339	10239
186	2349	10215
187	2359	10191
188	2369	10166
189	2379	10142
190	2389	10120
191	2399	10097
192	2409	10075
193	2419	10051
194	2428	10027
195	2439	10006
196	2448	9981
197	2458	9959
198	2469	9940
199	2480	9921
200	2490	9901
201	2501	9882
202	2511	9861
203	2522	9844
204	2533	9825
205	2543	9803
206	2553	9781
207	2563	9760
208	2573	9741
209	2584	9720
210	2594	9700
211	2604	9680
212	2613	9657
213	2623	9636
214	2634	9618
215	2644	9598
216	2655	9582
217	2665	9561
218	2674	9538
219	2686	9523
220	2695	9501
221	2705	9481
222	2715	9461
223	2724	9439
224	2735	9420
225	2745	9403
226	2756	9387
227	2767	9370
228	2777	9351
229	2787	9330
230	2798	9315
231	2807	9294
232	2817	9274
233	2826	9254
234	2836	9234
235	2846	9213
236	2855	9193
237	2866	9177
238	2876	9157
239	2887	9144
240	2899	9131
241	2909	9114
242	2920	9097
243	2932	9084
244	2943	9069
245	2953	9052
246	2965	9040
247	2975	9022
248	2986	9006
249	2998	8994
250	3008	8978
251	3019	8962
252	3030	8947
253	3040	8930
254	3051	8916
255	3063	8902
256	3074	8888
257	3084	8871
258	3095	8857
259	3106	8840
260	3117	8825
261	3128	8812
262	3138	8795
263	3148	8778
264	3159	8764
265	3169	8746
266	3180	8730
267	3190	8715
268	3200	8698
269	3212	8684
270	3223	8670
271	3233	8654
272	3244	8639
273	3255	8625
274	3266	8611
275	3276	8595
276	3288	8582
277	3299	8568
278	3310	8555
279	3321	8541
280	3332	8526
281	3343	8511
282	3355	8501
283	3365	8484
284	3377	8472
285	3389	8462
286	3399	8445
287	3410	8432
288	3422	8420
289	3433	8405
290	3444	8391
291	3455	8379
292	3466	8364
293	3476	8347
294	3489	8339
295	3500	8324
296	3509	8307
297	3519	8291
298	3529	8274
299	3539	8258
300	3549	8242
301	3558	8224
302	3569	8209
303	3579	8194
304	3588	8177
305	3598	8161
306	3608	8145
307	3618	8129
308	3628	8113
309	3637	8097
310	3647	8081
311	3657	8064
312	3667	8049
313	3677	8034
314	3688	8021
315	3699	8006
316	3708	7989
317	3718	7974
318	3728	7958
319	3737	7942
320	3747	7926
321	3757	7911
322	3767	7895
323	3777	7881
324	3787	7866
325	3796	7850
326	3806	7833
327	3815	7817
328	3825	7802
329	3835	7786
330	3844	7771
331	3854	7755
332	3864	7740
333	3874	7725
334	3884	7710
335	3894	7696
336	3905	7682
337	3915	7668
338	3925	7653
339	3934	7637
340	3944	7623
341	3954	7608
342	3965	7595
343	3976	7582
344	3990	7575
345	4005	7571
346	4020	7566
347	4041	7571
348	4054	7563
349	4071	7561
350	4086	7556
351	4102	7552
352	4118	7547
353	4133	7542
354	4148	7537
355	4165	7534
356	4182	7533
357	4197	7527
358	4213	7523
359	4228	7517
360	4242	7510
361	4258	7506
362	4273	7498
363	4289	7494
364	4305	7491
365	4320	7484
366	4334	7476
367	4347	7467
368	4361	7457
369	4375	7449
370	4387	7439
371	4401	7431
372	4415	7422
373	4427	7411
374	4440	7400
375	4454	7392
376	4467	7382
377	4480	7372
378	4493	7362
379	4505	7351
380	4518	7340
381	4530	7329
382	4542	7317
383	4554	7306
384	4565	7293
385	4577	7281
386	4590	7271
387	4602	7259
388	4614	7247
389	4625	7234
390	4637	7222
391	4649	7211
392	4660	7198
393	4672	7185
394	4683	7173
395	4695	7161
396	4706	7148
397	4718	7137
398	4732	7129
399	4748	7122
400	4760	7110
401	4772	7099
402	4784	7088
403	4796	7075
404	4807	7062
405	4817	7048
406	4829	7036
407	4840	7024
408	4851	7010
409	4865	7000
410	4876	6989
411	4887	6975
412	4899	6963
413	4910	6950
414	4924	6941
415	4936	6929
416	4950	6921
417	4963	6911
418	4977	6901
419	4988	6889
420	5002	6880
421	5015	6869
422	5029	6860
423	5044	6852
424	5057	6842
425	5071	6833
426	5084	6823
427	5097	6812
428	5110	6802
429	5124	6792
430	5139	6785
431	5154	6777
432	5166	6765
433	5178	6754
434	5191	6742
435	5203	6731
436	5214	6718
437	5226	6706
438	5238	6694
439	5250	6682
440	5262	6670
441	5274	6658
442	5286	6646
443	5297	6633
444	5309	6621
445	5320	6608
446	5331	6595
447	5342	6582
448	5354	6571
449	5365	6558
450	5376	6544
451	5387	6531
452	5398	6519
453	5409	6506
454	5421	6494
455	5434	6483
456	5447	6472
457	5459	6461
458	5473	6451
459	5485	6439
460	5498	6428
461	5512	6419
462	5525	6409
463	5540	6400
464	5555	6391
465	5569	6381
466	5581	6370
467	5595	6360
468	5607	6349
469	5620	6338
470	5632	6326
471	5646	6316
472	5661	6307
473	5674	6296
474	5687	6286
475	5701	6276
476	5713	6264
477	5725	6252
478	5736	6239
479	5748	6228
480	5760	6216
481	5772	6203
482	5784	6191
483	5795	6179
484	5807	6166
485	5818	6153
486	5830	6141
487	5842	6130
488	5853	6116
489	5865	6104
490	5876	6092
491	5887	6079
492	5898	6065
493	5909	6053
494	5920	6039
495	5931	6026
496	5942	6014
497	5952	6000
498	5963	5987
499	5976	5976
500	5989	5965
501	5999	5951
502	6011	5940
503	6024	5928
504	6036	5916
505	6047	5904
506	6059	5891
507	6071	5880
508	6083	5868
509	6094	5855
510	6107	5844
511	6118	5831
512	6129	5818
513	6140	5806
514	6151	5793
515	6163	5781
516	6175	5769
517	6187	5757
518	6199	5745
519	6210	5732
520	6222	5720
521	6232	5707
522	6243	5693
523	6253	5680
524	6262	5666
525	6272	5652
526	6282	5638
527	6291	5624
528	6301	5610
529	6310	5596
530	6320	5582
531	6332	5570
532	6341	5556
533	6351	5542
534	6361	5529
535	6371	5515
536	6382	5503
537	6392	5489
538	6401	5475
539	6411	5461
540	6420	5447
541	6430	5433
542	6439	5419
543	6449	5406
544	6459	5392
545	6468	5378
546	6478	5365
547	6487	5351
548	6498	5338
549	6508	5324
550	6517	5311
551	6527	5297
552	6536	5283
553	6546	5270
554	6555	5256
555	6565	5242
556	6575	5229
557	6584	5215
558	6594	5202
559	6604	5188
560	6613	5175
561	6623	5162
562	6633	5148
563	6643	5135
564	6652	5122
565	6662	5108
566	6673	5096
567	6683	5082
568	6694	5070
569	6705	5058
570	6715	5045
571	6725	5032
572	6734	5018
573	6744	5005
574	6754	4992
575	6764	4979
576	6774	4966
577	6784	4953
578	6814	4954
579	6825	4942
580	6834	4928
581	6843	4915
582	6853	4902
583	6862	4888
584	6872	4875
585	6881	4861
586	6890	4848
587	6899	4834
588	6909	4821
589	6919	4808
590	6929	4795
591	6938	4782
592	6948	4768
593	6958	4756
594	6968	4743
595	6977	4729
596	6988	4717
597	6997	4704
598	7007	4691
599	7018	4679
600	7028	4666
601	7038	4653
602	7047	4640
603	7057	4626
604	7067	4614
605	7076	4601
606	7086	4588
607	7098	4576
608	7107	4563
609	7117	4550
610	7127	4537
611	7138	4525
612	7149	4513
613	7159	4500
614	7169	4488
615	7178	4475
616	7189	4462
617	7198	4449
618	7208	4436
619	7218	4424
620	7228	4411
621	7239	4399
622	7249	4386
623	7259	4374
624	7268	4361
625	7279	4348
626	7288	4335
627	7298	4323
628	7307	4310
629	7317	4297
630	7329	4286
631	7339	4273
632	7349	4260
633	7358	4248
634	7368	4235
635	7378	4223
636	7388	4210
637	7398	4197
638	7408	4185
639	7417	4172
640	7427	4160
641	7437	4147
642	7448	4135
643	7458	4122
644	7467	4110
645	7477	4097
646	7486	4084
647	7497	4072
648	7507	4060
649	7517	4047
650	7527	4035
651	7537	4023
652	7547	4010
653	7558	3998
654	7567	3986
655	7577	3973
656	7587	3961
657	7597	3948
658	7607	3936
659	7616	3923
660	7626	3911
661	7636	3898
662	7648	3887
663	7660	3876
664	7670	3864
665	7681	3852
666	7691	3839
667	7700	3827
668	7710	3815
669	7720	3802
670	7729	3790
671	7740	3777
672	7749	3765
673	7759	3753
674	7770	3741
675	7780	3729
676	7791	3717
677	7801	3705
678	7811	3692
679	7821	3680
680	7831	3668
681	7840	3655
682	7850	3643
683	7860	3631
684	7870	3619
685	7880	3607
686	7895	3597
687	7906	3585
688	7915	3573
689	7926	3561
690	7936	3549
691	7945	3536
692	7955	3524
693	7966	3512
694	7975	3500
695	7986	3488
696	7995	3475
697	8005	3463
698	8015	3451
699	8025	3439
700	8035	3427
701	8045	3415
702	8055	3403
703	8066	3391
704	8076	3379
705	8087	3367
706	8097	3355
707	8106	3343
708	8116	3331
709	8126	3319
710	8136	3307
711	8146	3295
712	8156	3283
713	8168	3272
714	8178	3259
715	8188	3247
716	8198	3235
717	8208	3224
718	8219	3212
719	8231	3201
720	8240	3188
721	8250	3176
722	8260	3164
723	8269	3152
724	8279	3140
725	8288	3128
726	8299	3116
727	8309	3104
728	8319	3092
729	8329	3080
730	8340	3069
731	8350	3057
732	8360	3045
733	8370	3033
734	8382	3022
735	8392	3010
736	8401	2998
737	8412	2986
738	8421	2974
739	8431	2962
740	8441	2950
741	8451	2938
742	8461	2926
743	8471	2915
744	8481	2903
745	8491	2891
746	8501	2879
747	8511	2867
748	8522	2855
749	8532	2844
750	8543	2832
751	8553	2820
752	8563	2809
753	8573	2797
754	8583	2785
755	8594	2773
756	8604	2762
757	8614	2750
758	8626	2739
759	8637	2727
760	8647	2715
761	8658	2704
762	8669	2693
763	8680	2681
764	8690	2669
765	8700	2657
766	8710	2646
767	8721	2634
768	8730	2622
769	8741	2610
770	8752	2599
771	8762	2587
772	8772	2576
773	8782	2564
774	8792	2552
775	8802	2540
776	8811	2529
777	8822	2517
778	8832	2505
779	8843	2494
780	8853	2482
781	8863	2470
782	8873	2459
783	8883	2447
784	8894	2435
785	8904	2424
786	8913	2412
787	8923	2400
788	8933	2389
789	8942	2377
790	8953	2365
791	8963	2354
792	8972	2342
793	8982	2330
794	8992	2318
795	9002	2307
796	9012	2295
797	9021	2283
798	9032	2272
799	9042	2260
800	9053	2249
801	9062	2237
802	9072	2225
803	9082	2214
804	9092	2202
805	9101	2190
806	9111	2179
807	9121	2167
808	9131	2155
809	9140	2144
810	9151	2132
811	9161	2121
812	9171	2109
813	9182	2098
814	9192	2086
815	9201	2074
816	9211	2063
817	9221	2051
818	9231	2040
819	9241	2028
820	9252	2017
821	9262	2005
822	9272	1994
823	9282	1982
824	9293	1971
825	9304	1959
826	9314	1948
827	9324	1937
828	9334	1925
829	9345	1914
830	9355	1902
831	9366	1891
832	9377	1880
833	9387	1868
834	9396	1856
835	9406	1845
836	9415	1833
837	9426	1822
838	9436	1810
839	9446	1799
840	9456	1787
841	9466	1776
842	9476	1764
843	9486	1753
844	9495	1741
845	9506	1730
846	9516	1718
847	9527	1707
848	9537	1696
849	9547	1684
850	9558	1673
851	9567	1661
852	9578	1650
853	9588	1639
854	9597	1627
855	9607	1616
856	9617	1604
857	9627	1593
858	9637	1581
859	9646	1570
860	9657	1559
861	9666	1547
862	9676	1536
863	9687	1524
864	9697	1513
865	9707	1502
866	9718	1490
867	9727	1479
868	9738	1467
869	9747	1456
870	9757	1445
871	9768	1433
872	9777	1422
873	9788	1411
874	9799	1399
875	9808	1388
876	9819	1377
877	9828	1365
878	9839	1354
879	9849	1343
880	9859	1331
881	9870	1320
882	9879	1309
883	9889	1297
884	9900	1286
885	9910	1275
886	9920	1263
887	9931	1252
888	9941	1241
889	9951	1229
890	9962	1218
891	9972	1207
892	9983	1196
893	9994	1185
894	10004	1173
895	10015	1162
896	10025	1151
897	10035	1139
898	10045	1128
899	10055	1117
900	10065	1106
901	10075	1094
902	10086	1083
903	10096	1072
904	10105	1060
905	10115	1049
906	10127	1038
907	10137	1027
908	10147	1015
909	10156	1004
910	10166	993
911	10176	981
912	10186	970
913	10196	959
914	10206	948
915	10216	936
916	10226	925
917	10236	914
918	10245	903
919	10255	891
920	10265	880
921	10276	869
922	10285	858
923	10296	846
924	10307	835
925	10316	824
926	10327	813
927	10336	801
928	10346	790
929	10356	779
930	10366	768
931	10376	757
932	10385	745
933	10395	734
934	10406	723
935	10416	712
936	10426	701
937	10436	689
938	10445	678
939	10455	667
940	10465	656
941	10474	644
942	10484	633
943	10494	622
944	10505	611
945	10514	600
946	10524	589
947	10535	577
948	10544	566
949	10554	555
950	10564	544
951	10574	533
952	10584	522
953	10594	510
954	10605	499
955	10615	488
956	10625	477
957	10637	466
958	10648	455
959	10659	444
960	10669	432
961	10680	421
962	10690	410
963	10701	399
964	10710	388
965	10721	377
966	10732	366
967	10742	355
968	10752	343
969	10762	332
970	10772	321
971	10783	310
972	10793	299
973	10803	288
974	10815	277
975	10825	266
976	10835	255
977	10845	243
978	10855	232
979	10865	221
980	10875	210
981	10885	199
982	10894	188
983	10904	177
984	10914	166
985	10924	155
986	10934	144
987	10945	132
988	10955	121
989	10965	110
990	10975	99
991	10985	88
992	10995	77
993	11005	66
994	11015	55
